Year,Year Half,Carrier,PRTT,Wiretap Orders,Link
2021,0,T-Mobile,23222,4140,https://www.t-mobile.com/news/_admin/uploads/2022/07/2021-Transparency-Report.pdf
2020,0,T-Mobile,22218,4348,https://www.t-mobile.com/news/_admin/uploads/2021/07/2020-Transparency-Report.pdf
2019,0,T-Mobile,13358,3223,https://www.t-mobile.com/news/_admin/uploads/2020/07/2019-Transparency-Report-3.pdf
2018,0,T-Mobile,12896,3053,https://www.t-mobile.com/news/_admin/uploads/2020/04/TransparencyReport2018.pdf
2017,0,T-Mobile,13020,2968,https://www.t-mobile.com/news/_admin/uploads/2020/04/TransparencyReport2017.pdf
2016,0,T-Mobile,18380,5836,https://www.t-mobile.com/news/_admin/uploads/2020/04/TransparencyReport2016.pdf
2015,0,T-Mobile,16231,4454,https://www.t-mobile.com/news/_admin/uploads/2020/07/2019-Transparency-Report-3.pdf
2014,0,T-Mobile,9916,3087,https://www.t-mobile.com/news/_admin/uploads/2020/04/NewTransparencyReport.pdf
2013,0,T-Mobile,8595,2308,https://www.t-mobile.com/news/_admin/uploads/2020/04/NewTransparencyReport.pdf
2022,0,Verizon,7931,599,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2021,0,Verizon,8072,802,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2020,0,Verizon,8213,1239,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2022.pdf
2019,0,Verizon,7619,1110,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-1H-2022.pdf
2018,0,Verizon,6950,1231,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2017,0,Verizon,6624,1413,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2016,0,Verizon,5471,1306,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2018.pdf
2015,0,Verizon,6003,1334,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
2014,0,Verizon,6378,1433,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
2013,0,Verizon,6312,1469,https://www.verizon.com/about/sites/default/files/US-Transparency-Report-2H-2015.pdf
2022,0,AT&T,4328,917,https://about.att.com/content/dam/csr/2019/transparency/2022/2022-August_Transparency_Report.pdf
2021,0,AT&T,7849,1848,https://about.att.com/ecms/dam/csr/2019/transparency/2021/2021-August-Report.pdf
2020,0,AT&T,6960,1942,https://about.att.com/ecms/dam/csr/2019/transparency/2021/2021-February-Report.pdf
2019,0,AT&T,6457,2471,https://about.att.com/ecms/dam/csr/2019/library/transparency/2020-February-Report.pdf
2018,0,AT&T,6088,2277,https://about.att.com/ecms/dam/csr/2019/library/transparency/2019-February-Report.pdf
2017,0,AT&T,6130,2346,https://about.att.com/ecms/dam/csr/2019/library/transparency/2018-February-Report.pdf
2016,0,AT&T,6417,2364,https://about.att.com/ecms/dam/csr/2019/library/transparency/2017-February-Report.pdf
2015,0,AT&T,6999,2722,https://about.att.com/ecms/dam/csr/2019/library/transparency/2016-January-Report.pdf
2014,0,AT&T,5774,2421,https://about.att.com/ecms/dam/csr/2019/library/transparency/2014-January-Report.pdf